dates,#calls,weekday,day,month
2018-07-19,18272,3,19,7
2018-07-20,18170,4,20,7
2018-07-21,17758,5,21,7
2018-07-22,17593,6,22,7
2018-07-23,17547,0,23,7
2018-07-24,18241,1,24,7
2018-07-25,18138,2,25,7
2018-07-26,18192,3,26,7
2018-07-27,18608,4,27,7
2018-07-28,18640,5,28,7
2018-07-29,18014,6,29,7
2018-07-30,16670,0,30,7
2018-07-31,17984,1,31,7
2018-08-01,17971,2,1,8
2018-08-02,18997,3,2,8
2018-08-03,18919,4,3,8
2018-08-04,18487,5,4,8
2018-08-05,18084,6,5,8
2018-08-06,17616,0,6,8
2018-08-07,17467,1,7,8
2018-08-08,18860,2,8,8
2018-08-09,18892,3,9,8
2018-08-10,18846,4,10,8
2018-08-11,18113,5,11,8
2018-08-12,17477,6,12,8
2018-08-13,16903,0,13,8
2018-08-14,17862,1,14,8
2018-08-15,18128,2,15,8
2018-08-16,18122,3,16,8
2018-08-17,18249,4,17,8
2018-08-18,17453,5,18,8
2018-08-19,16751,6,19,8
2018-08-20,16549,0,20,8
2018-08-21,17107,1,21,8
2018-08-22,17783,2,22,8
2018-08-23,17593,3,23,8
2018-08-24,18170,4,24,8
2018-08-25,17793,5,25,8
2018-08-26,16814,6,26,8
2018-08-27,17190,0,27,8
2018-08-28,17792,1,28,8
2018-08-29,18531,2,29,8
2018-08-30,18583,3,30,8
2018-08-31,17909,4,31,8
2018-09-01,18202,5,1,9
2018-09-02,17524,6,2,9
2018-09-03,15876,0,3,9
2018-09-04,18232,1,4,9
2018-09-05,18529,2,5,9
2018-09-06,18711,3,6,9
2018-09-07,18691,4,7,9
2018-09-08,17466,5,8,9
2018-09-09,16526,6,9,9
2018-09-10,16123,0,10,9
2018-09-11,17511,1,11,9
2018-09-12,18717,2,12,9
2018-09-13,17550,3,13,9
2018-09-14,18394,4,14,9
2018-09-15,18481,5,15,9
2018-09-16,17708,6,16,9
2018-09-17,17033,0,17,9
2018-09-18,18313,1,18,9
2018-09-19,18659,2,19,9
2018-09-20,18274,3,20,9
2018-09-21,18399,4,21,9
2018-09-22,18325,5,22,9
2018-09-23,16521,6,23,9
2018-09-24,16268,0,24,9
2018-09-25,16291,1,25,9
2018-09-26,18383,2,26,9
2018-09-27,18239,3,27,9
2018-09-28,18201,4,28,9
2018-09-29,18666,5,29,9
2018-09-30,17421,6,30,9
2018-10-01,16489,0,1,10
2018-10-02,18575,1,2,10
2018-10-03,18915,2,3,10
2018-10-04,18703,3,4,10
2018-10-05,18565,4,5,10
2018-10-06,18090,5,6,10
2018-10-07,17732,6,7,10
2018-10-08,16033,0,8,10
2018-10-09,18458,1,9,10
2018-10-10,18264,2,10,10
2018-10-11,18578,3,11,10
2018-10-12,19489,4,12,10
2018-10-13,18151,5,13,10
2018-10-14,17214,6,14,10
2018-10-15,17167,0,15,10
2018-10-16,18200,1,16,10
2018-10-17,19106,2,17,10
2018-10-18,18584,3,18,10
2018-10-19,18391,4,19,10
2018-10-20,17868,5,20,10
2018-10-21,17219,6,21,10
2018-10-22,17209,0,22,10
2018-10-23,18180,1,23,10
2018-10-24,18726,2,24,10
2018-10-25,18611,3,25,10
2018-10-26,18342,4,26,10
2018-10-27,18910,5,27,10
2018-10-28,18535,6,28,10
2018-10-29,18378,0,29,10
2018-10-30,18919,1,30,10
2018-10-31,19499,2,31,10
2018-11-01,19029,3,1,11
2018-11-02,19419,4,2,11
2018-11-03,19466,5,3,11
2018-11-04,18275,6,4,11
2018-11-05,17702,0,5,11
2018-11-06,17733,1,6,11
2018-11-07,19110,2,7,11
2018-11-08,18559,3,8,11
2018-11-09,18170,4,9,11
2018-11-10,18466,5,10,11
2018-11-11,17242,6,11,11
2018-11-12,16718,0,12,11
2018-11-13,18139,1,13,11
2018-11-14,18510,2,14,11
2018-11-15,19259,3,15,11
2018-11-16,18239,4,16,11
2018-11-17,18090,5,17,11
2018-11-18,16898,6,18,11
2018-11-19,17288,0,19,11
2018-11-20,18201,1,20,11
2018-11-21,19012,2,21,11
