dates,#calls,weekday,day,month
2020-05-18,18283,0,18,5
2020-05-19,20020,1,19,5
2020-05-20,19537,2,20,5
2020-05-21,19660,3,21,5
2020-05-22,19256,4,22,5
2020-05-23,18006,5,23,5
2020-05-24,18575,6,24,5
2020-05-25,18736,0,25,5
2020-05-26,19722,1,26,5
2020-05-27,19333,2,27,5
2020-05-28,19635,3,28,5
2020-05-29,18299,4,29,5
2020-05-30,16523,5,30,5
2020-05-31,15861,6,31,5
2020-06-01,16237,0,1,6
2020-06-02,15748,1,2,6
2020-06-03,15001,2,3,6
2020-06-04,15067,3,4,6
2020-06-05,15063,4,5,6
2020-06-06,15369,5,6,6
2020-06-07,15236,6,7,6
2020-06-08,14929,0,8,6
2020-06-09,15619,1,9,6
2020-06-10,16083,2,10,6
2020-06-11,15663,3,11,6
2020-06-12,16035,4,12,6
2020-06-13,16191,5,13,6
2020-06-14,15709,6,14,6
2020-06-15,15696,0,15,6
2020-06-16,16462,1,16,6
2020-06-17,17520,2,17,6
2020-06-18,17766,3,18,6
2020-06-19,17910,4,19,6
2020-06-20,18274,5,20,6
2020-06-21,18501,6,21,6
2020-06-22,17644,0,22,6
2020-06-23,16602,1,23,6
2020-06-24,17829,2,24,6
2020-06-25,17704,3,25,6
2020-06-26,17946,4,26,6
2020-06-27,16901,5,27,6
2020-06-28,16507,6,28,6
2020-06-29,16669,0,29,6
2020-06-30,17024,1,30,6
2020-07-01,16712,2,1,7
2020-07-02,17393,3,2,7
2020-07-03,16494,4,3,7
2020-07-04,17209,5,4,7
2020-07-05,16732,6,5,7
2020-07-06,15346,0,6,7
2020-07-07,16441,1,7,7
2020-07-08,16524,2,8,7
2020-07-09,16625,3,9,7
2020-07-10,15823,4,10,7
2020-07-11,15622,5,11,7
2020-07-12,15653,6,12,7
2020-07-13,16055,0,13,7
2020-07-14,16572,1,14,7
2020-07-15,16563,2,15,7
2020-07-16,16478,3,16,7
2020-07-17,16404,4,17,7
2020-07-18,16153,5,18,7
2020-07-19,15825,6,19,7
2020-07-20,15823,0,20,7
2020-07-21,16558,1,21,7
2020-07-22,17172,2,22,7
2020-07-23,16910,3,23,7
2020-07-24,16015,4,24,7
2020-07-25,16157,5,25,7
2020-07-26,15618,6,26,7
2020-07-27,15732,0,27,7
2020-07-28,16577,1,28,7
2020-07-29,16677,2,29,7
2020-07-30,16806,3,30,7
2020-07-31,16681,4,31,7
2020-08-01,16703,5,1,8
2020-08-02,15850,6,2,8
2020-08-03,15937,0,3,8
2020-08-04,20927,1,4,8
2020-08-05,18352,2,5,8
2020-08-06,17195,3,6,8
2020-08-07,16964,4,7,8
2020-08-08,16375,5,8,8
2020-08-09,16143,6,9,8
2020-08-10,15739,0,10,8
2020-08-11,16469,1,11,8
2020-08-12,16988,2,12,8
2020-08-13,16521,3,13,8
2020-08-14,16500,4,14,8
2020-08-15,16531,5,15,8
2020-08-16,15398,6,16,8
2020-08-17,15694,0,17,8
2020-08-18,16866,1,18,8
2020-08-19,16484,2,19,8
2020-08-20,16917,3,20,8
2020-08-21,16590,4,21,8
2020-08-22,16910,5,22,8
2020-08-23,16131,6,23,8
2020-08-24,15728,0,24,8
2020-08-25,16560,1,25,8
2020-08-26,16664,2,26,8
2020-08-27,16781,3,27,8
2020-08-28,16052,4,28,8
2020-08-29,16169,5,29,8
2020-08-30,16170,6,30,8
2020-08-31,15589,0,31,8
2020-09-01,16958,1,1,9
2020-09-02,16996,2,2,9
2020-09-03,16967,3,3,9
2020-09-04,16986,4,4,9
2020-09-05,16996,5,5,9
2020-09-06,16887,6,6,9
2020-09-07,15875,0,7,9
2020-09-08,17216,1,8,9
2020-09-09,16118,2,9,9
2020-09-10,17016,3,10,9
2020-09-11,17240,4,11,9
2020-09-12,17694,5,12,9
2020-09-13,16385,6,13,9
2020-09-14,16047,0,14,9
2020-09-15,16826,1,15,9
2020-09-16,17633,2,16,9
2020-09-17,17297,3,17,9
2020-09-18,17871,4,18,9
2020-09-19,18521,5,19,9
2020-09-20,17430,6,20,9
2020-09-21,16604,0,21,9
2020-09-22,17375,1,22,9
2020-09-23,17245,2,23,9
2020-09-24,17427,3,24,9
2020-09-25,17681,4,25,9
2020-09-26,18325,5,26,9
2020-09-27,17408,6,27,9
2020-09-28,15994,0,28,9
2020-09-29,17246,1,29,9
2020-09-30,18245,2,30,9
2020-10-01,18187,3,1,10
2020-10-02,17610,4,2,10
2020-10-03,18403,5,3,10
2020-10-04,17305,6,4,10
2020-10-05,16896,0,5,10
2020-10-06,17909,1,6,10
2020-10-07,18199,2,7,10
2020-10-08,17588,3,8,10
2020-10-09,17585,4,9,10
2020-10-10,18326,5,10,10
2020-10-11,17289,6,11,10
2020-10-12,16336,0,12,10
2020-10-13,17792,1,13,10
2020-10-14,17951,2,14,10
2020-10-15,18220,3,15,10
2020-10-16,17008,4,16,10
2020-10-17,17273,5,17,10
2020-10-18,17086,6,18,10
2020-10-19,16620,0,19,10
2020-10-20,18000,1,20,10
2020-10-21,18492,2,21,10
2020-10-22,18339,3,22,10
2020-10-23,17868,4,23,10
2020-10-24,17629,5,24,10
2020-10-25,16864,6,25,10
2020-10-26,16631,0,26,10
2020-10-27,18105,1,27,10
2020-10-28,17752,2,28,10
2020-10-29,17664,3,29,10
2020-10-30,17741,4,30,10
2020-10-31,17885,5,31,10
2020-11-01,17535,6,1,11
2020-11-02,17444,0,2,11
2020-11-03,17136,1,3,11
2020-11-04,17648,2,4,11
2020-11-05,18008,3,5,11
2020-11-06,17866,4,6,11
2020-11-07,17895,5,7,11
2020-11-08,17055,6,8,11
2020-11-09,17020,0,9,11
2020-11-10,18552,1,10,11
2020-11-11,17908,2,11,11
2020-11-12,17716,3,12,11
2020-11-13,17554,4,13,11
2020-11-14,17105,5,14,11
2020-11-15,17033,6,15,11
2020-11-16,16985,0,16,11
2020-11-17,17592,1,17,11
2020-11-18,17701,2,18,11
2020-11-19,17992,3,19,11
2020-11-20,18101,4,20,11
2020-11-21,17828,5,21,11
2020-11-22,16378,6,22,11
2020-11-23,16890,0,23,11
2020-11-24,17658,1,24,11
2020-11-25,17954,2,25,11
2020-11-26,14871,3,26,11
2020-11-27,17548,4,27,11
2020-11-28,16718,5,28,11
2020-11-29,16818,6,29,11
2020-11-30,16732,0,30,11
2020-12-01,18165,1,1,12
2020-12-02,18358,2,2,12
2020-12-03,18344,3,3,12
2020-12-04,18082,4,4,12
2020-12-05,17245,5,5,12
2020-12-06,17093,6,6,12
2020-12-07,16862,0,7,12
2020-12-08,17902,1,8,12
2020-12-09,18238,2,9,12
2020-12-10,18305,3,10,12
2020-12-11,18313,4,11,12
2020-12-12,17728,5,12,12
2020-12-13,16863,6,13,12
2020-12-14,16720,0,14,12
2020-12-15,18290,1,15,12
2020-12-16,17858,2,16,12
2020-12-17,16725,3,17,12
2020-12-18,17527,4,18,12
2020-12-19,17348,5,19,12
2020-12-20,16464,6,20,12
2020-12-21,16921,0,21,12
2020-12-22,17829,1,22,12
2020-12-23,18119,2,23,12
2020-12-24,17353,3,24,12
2020-12-25,16048,4,25,12
2020-12-26,16612,5,26,12
2020-12-27,16071,6,27,12
2020-12-28,16641,0,28,12
2020-12-29,17631,1,29,12
2020-12-30,17832,2,30,12
2020-12-31,17400,3,31,12
2021-01-01,17330,4,1,1
2021-01-02,16601,5,2,1
2021-01-03,15773,6,3,1
2021-01-04,17122,0,4,1
2021-01-05,18001,1,5,1
2021-01-06,18206,2,6,1
2021-01-07,17758,3,7,1
2021-01-08,18217,4,8,1
2021-01-09,17178,5,9,1
2021-01-10,16384,6,10,1
2021-01-11,16830,0,11,1
2021-01-12,17844,1,12,1
2021-01-13,17967,2,13,1
2021-01-14,18101,3,14,1
2021-01-15,17708,4,15,1
2021-01-16,17288,5,16,1
2021-01-17,16429,6,17,1
2021-01-18,16563,0,18,1
2021-01-19,18138,1,19,1
2021-01-20,17540,2,20,1
2021-01-21,18155,3,21,1
2021-01-22,17640,4,22,1
2021-01-23,17502,5,23,1
2021-01-24,16439,6,24,1
2021-01-25,16722,0,25,1
2021-01-26,17473,1,26,1
2021-01-27,17729,2,27,1
2021-01-28,18187,3,28,1
2021-01-29,18240,4,29,1
2021-01-30,17515,5,30,1
2021-01-31,17132,6,31,1
2021-02-01,13721,0,1,2
2021-02-02,16563,1,2,2
2021-02-03,18200,2,3,2
2021-02-04,18391,3,4,2
2021-02-05,18123,4,5,2
2021-02-06,17890,5,6,2
2021-02-07,16214,6,7,2
2021-02-08,17065,0,8,2
2021-02-09,17974,1,9,2
2021-02-10,18116,2,10,2
2021-02-11,17698,3,11,2
2021-02-12,17646,4,12,2
2021-02-13,18020,5,13,2
2021-02-14,16842,6,14,2
2021-02-15,17394,0,15,2
2021-02-16,18725,1,16,2
2021-02-17,18710,2,17,2
2021-02-18,17253,3,18,2
2021-02-19,17473,4,19,2
2021-02-20,17651,5,20,2
2021-02-21,16853,6,21,2
2021-02-22,17654,0,22,2
2021-02-23,18755,1,23,2
2021-02-24,19223,2,24,2
2021-02-25,19181,3,25,2
2021-02-26,18218,4,26,2
2021-02-27,17780,5,27,2
2021-02-28,17140,6,28,2
2021-03-01,17926,0,1,3
2021-03-02,19309,1,2,3
2021-03-03,19636,2,3,3
2021-03-04,19212,3,4,3
2021-03-05,18594,4,5,3
2021-03-06,17847,5,6,3
2021-03-07,17279,6,7,3
2021-03-08,17300,0,8,3
2021-03-09,19338,1,9,3
2021-03-10,19842,2,10,3
2021-03-11,19885,3,11,3
2021-03-12,19101,4,12,3
2021-03-13,17627,5,13,3
2021-03-14,17150,6,14,3
2021-03-15,17390,0,15,3
2021-03-16,18162,1,16,3
2021-03-17,19008,2,17,3
2021-03-18,18324,3,18,3
2021-03-19,18280,4,19,3
2021-03-20,17798,5,20,3
2021-03-21,17482,6,21,3
2021-03-22,17818,0,22,3
2021-03-23,18634,1,23,3
2021-03-24,18828,2,24,3
2021-03-25,19560,3,25,3
2021-03-26,19578,4,26,3
2021-03-27,18481,5,27,3
2021-03-28,16755,6,28,3
2021-03-29,17430,0,29,3
2021-03-30,17933,1,30,3
2021-03-31,17888,2,31,3
2021-04-01,17965,3,1,4
2021-04-02,17483,4,2,4
2021-04-03,17535,5,3,4
2021-04-04,16700,6,4,4
2021-04-05,16590,0,5,4
2021-04-06,17572,1,6,4
2021-04-07,18481,2,7,4
2021-04-08,18603,3,8,4
2021-04-09,17983,4,9,4
2021-04-10,17634,5,10,4
2021-04-11,16157,6,11,4
2021-04-12,15646,0,12,4
2021-04-13,17580,1,13,4
2021-04-14,17843,2,14,4
2021-04-15,17061,3,15,4
2021-04-16,17195,4,16,4
2021-04-17,17464,5,17,4
2021-04-18,16666,6,18,4
2021-04-19,16368,0,19,4
2021-04-20,16922,1,20,4
2021-04-21,17157,2,21,4
2021-04-22,16924,3,22,4
2021-04-23,16849,4,23,4
2021-04-24,17312,5,24,4
2021-04-25,15925,6,25,4
2021-04-26,16169,0,26,4
2021-04-27,17347,1,27,4
2021-04-28,18260,2,28,4
2021-04-29,17744,3,29,4
2021-04-30,17877,4,30,4
2021-05-01,17630,5,1,5
2021-05-02,17624,6,2,5
2021-05-03,16571,0,3,5
2021-05-04,17189,1,4,5
2021-05-05,17899,2,5,5
2021-05-06,18518,3,6,5
2021-05-07,18017,4,7,5
2021-05-08,17596,5,8,5
2021-05-09,16450,6,9,5
2021-05-10,16679,0,10,5
2021-05-11,17765,1,11,5
2021-05-12,18417,2,12,5
2021-05-13,18507,3,13,5
2021-05-14,19104,4,14,5
2021-05-15,18851,5,15,5
2021-05-16,18406,6,16,5
2021-05-17,18652,0,17,5
2021-05-18,20567,1,18,5
2021-05-19,21060,2,19,5
2021-05-20,20788,3,20,5
2021-05-21,20597,4,21,5
2021-05-22,20906,5,22,5
2021-05-23,20522,6,23,5
2021-05-24,20107,0,24,5
2021-05-25,20784,1,25,5
2021-05-26,20970,2,26,5
2021-05-27,20951,3,27,5
2021-05-28,20355,4,28,5
2021-05-29,19763,5,29,5
2021-05-30,18628,6,30,5
2021-05-31,19808,0,31,5
2021-06-01,20909,1,1,6
2021-06-02,20255,2,2,6
2021-06-03,19718,3,3,6
2021-06-04,19953,4,4,6
2021-06-05,21662,5,5,6
2021-06-06,20130,6,6,6
2021-06-07,19756,0,7,6
2021-06-08,20228,1,8,6
2021-06-09,20678,2,9,6
2021-06-10,20384,3,10,6
2021-06-11,19689,4,11,6
2021-06-12,20088,5,12,6
2021-06-13,19500,6,13,6
2021-06-14,18735,0,14,6
2021-06-15,19794,1,15,6
2021-06-16,19856,2,16,6
2021-06-17,19556,3,17,6
2021-06-18,20017,4,18,6
2021-06-19,19713,5,19,6
2021-06-20,19993,6,20,6
2021-06-21,19044,0,21,6
2021-06-22,18013,1,22,6
2021-06-23,20067,2,23,6
2021-06-24,19914,3,24,6
2021-06-25,19427,4,25,6
2021-06-26,19654,5,26,6
2021-06-27,19152,6,27,6
2021-06-28,18888,0,28,6
2021-06-29,19583,1,29,6
2021-06-30,19656,2,30,6
2021-07-01,18842,3,1,7
2021-07-02,19643,4,2,7
2021-07-03,20231,5,3,7
2021-07-04,21729,6,4,7
2021-07-05,20517,0,5,7
2021-07-06,19746,1,6,7
2021-07-07,19446,2,7,7
2021-07-08,19347,3,8,7
2021-07-09,19072,4,9,7
2021-07-10,19065,5,10,7
2021-07-11,18914,6,11,7
2021-07-12,18543,0,12,7
2021-07-13,18958,1,13,7
2021-07-14,19098,2,14,7
2021-07-15,19365,3,15,7
2021-07-16,19196,4,16,7
2021-07-17,18932,5,17,7
2021-07-18,18774,6,18,7
2021-07-19,17971,0,19,7
2021-07-20,18120,1,20,7
2021-07-21,18323,2,21,7
2021-07-22,18827,3,22,7
2021-07-23,18897,4,23,7
2021-07-24,18813,5,24,7
2021-07-25,18827,6,25,7
2021-07-26,17882,0,26,7
2021-07-27,18599,1,27,7
2021-07-28,18791,2,28,7
2021-07-29,18110,3,29,7
2021-07-30,18770,4,30,7
2021-07-31,19237,5,31,7
2021-08-01,18391,6,1,8
2021-08-02,17504,0,2,8
2021-08-03,17541,1,3,8
2021-08-04,18420,2,4,8
2021-08-05,18450,3,5,8
2021-08-06,18860,4,6,8
2021-08-07,18698,5,7,8
2021-08-08,17800,6,8,8
2021-08-09,17747,0,9,8
2021-08-10,17987,1,10,8
2021-08-11,18830,2,11,8
2021-08-12,19194,3,12,8
2021-08-13,19235,4,13,8
2021-08-14,19075,5,14,8
2021-08-15,18477,6,15,8
2021-08-16,17810,0,16,8
2021-08-17,18501,1,17,8
2021-08-18,18710,2,18,8
2021-08-19,18551,3,19,8
2021-08-20,18432,4,20,8
2021-08-21,18442,5,21,8
2021-08-22,17378,6,22,8
2021-08-23,18321,0,23,8
2021-08-24,19133,1,24,8
2021-08-25,18614,2,25,8
2021-08-26,18412,3,26,8
2021-08-27,18570,4,27,8
2021-08-28,18236,5,28,8
2021-08-29,18594,6,29,8
2021-08-30,17669,0,30,8
2021-08-31,18334,1,31,8
2021-09-01,19486,2,1,9
2021-09-02,19288,3,2,9
2021-09-03,18704,4,3,9
2021-09-04,19420,5,4,9
2021-09-05,18614,6,5,9
2021-09-06,18380,0,6,9
2021-09-07,19046,1,7,9
2021-09-08,18548,2,8,9
2021-09-09,17825,3,9,9
2021-09-10,18351,4,10,9
2021-09-11,18487,5,11,9
2021-09-12,18433,6,12,9
2021-09-13,18338,0,13,9
2021-09-14,19194,1,14,9
2021-09-15,19591,2,15,9
2021-09-16,19054,3,16,9
2021-09-17,18950,4,17,9
2021-09-18,19230,5,18,9
2021-09-19,18680,6,19,9
2021-09-20,18167,0,20,9
2021-09-21,18725,1,21,9
2021-09-22,18805,2,22,9
2021-09-23,18950,3,23,9
2021-09-24,18818,4,24,9
2021-09-25,19514,5,25,9
2021-09-26,18970,6,26,9
2021-09-27,18041,0,27,9
2021-09-28,19498,1,28,9
2021-09-29,19389,2,29,9
2021-09-30,19513,3,30,9
2021-10-01,19740,4,1,10
2021-10-02,19365,5,2,10
2021-10-03,18763,6,3,10
2021-10-04,18541,0,4,10
2021-10-05,19382,1,5,10
2021-10-06,19963,2,6,10
2021-10-07,19551,3,7,10
2021-10-08,19687,4,8,10
2021-10-09,18545,5,9,10
2021-10-10,17808,6,10,10
2021-10-11,17984,0,11,10
2021-10-12,19274,1,12,10
2021-10-13,19480,2,13,10
2021-10-14,19575,3,14,10
2021-10-15,19891,4,15,10
2021-10-16,19485,5,16,10
2021-10-17,18156,6,17,10
2021-10-18,18299,0,18,10
2021-10-19,19151,1,19,10
2021-10-20,19437,2,20,10
2021-10-21,19581,3,21,10
2021-10-22,19350,4,22,10
2021-10-23,18782,5,23,10
2021-10-24,17520,6,24,10
2021-10-25,17649,0,25,10
2021-10-26,17806,1,26,10
2021-10-27,18203,2,27,10
2021-10-28,17253,3,28,10
2021-10-29,18415,4,29,10
2021-10-30,18282,5,30,10
2021-10-31,18365,6,31,10
2021-11-01,17931,0,1,11
2021-11-02,17318,1,2,11
2021-11-03,19024,2,3,11
2021-11-04,19656,3,4,11
2021-11-05,19567,4,5,11
2021-11-06,18264,5,6,11
2021-11-07,17485,6,7,11
2021-11-08,17658,0,8,11
2021-11-09,18974,1,9,11
2021-11-10,19592,2,10,11
2021-11-11,18454,3,11,11
2021-11-12,19712,4,12,11
2021-11-13,18646,5,13,11
2021-11-14,18407,6,14,11
2021-11-15,18317,0,15,11
2021-11-16,18802,1,16,11
2021-11-17,18643,2,17,11
2021-11-18,19486,3,18,11
2021-11-19,18840,4,19,11
2021-11-20,18509,5,20,11
2021-11-21,17925,6,21,11
2021-11-22,17530,0,22,11
2021-11-23,18358,1,23,11
2021-11-24,18618,2,24,11
2021-11-25,14558,3,25,11
2021-11-26,17806,4,26,11
2021-11-27,18558,5,27,11
2021-11-28,17570,6,28,11
2021-11-29,17815,0,29,11
2021-11-30,18707,1,30,11
2021-12-01,18584,2,1,12
2021-12-02,19127,3,2,12
2021-12-03,19571,4,3,12
2021-12-04,19296,5,4,12
2021-12-05,18303,6,5,12
2021-12-06,18258,0,6,12
2021-12-07,18922,1,7,12
2021-12-08,18139,2,8,12
2021-12-09,18274,3,9,12
2021-12-10,18952,4,10,12
2021-12-11,18602,5,11,12
2021-12-12,17855,6,12,12
2021-12-13,17837,0,13,12
2021-12-14,18392,1,14,12
2021-12-15,17994,2,15,12
2021-12-16,18140,3,16,12
2021-12-17,18902,4,17,12
2021-12-18,17784,5,18,12
2021-12-19,17490,6,19,12
2021-12-20,17118,0,20,12
2021-12-21,17353,1,21,12
2021-12-22,18097,2,22,12
2021-12-23,17886,3,23,12
2021-12-24,15485,4,24,12
2021-12-25,12735,5,25,12
2021-12-26,15186,6,26,12
2021-12-27,15360,0,27,12
2021-12-28,15528,1,28,12
2021-12-29,15623,2,29,12
2021-12-30,15905,3,30,12
2021-12-31,15521,4,31,12
2022-01-01,17011,5,1,1
2022-01-02,15806,6,2,1
2022-01-03,16556,0,3,1
2022-01-04,17114,1,4,1
2022-01-05,17491,2,5,1
2022-01-06,17792,3,6,1
2022-01-07,17532,4,7,1
2022-01-08,17868,5,8,1
2022-01-09,17469,6,9,1
2022-01-10,17621,0,10,1
2022-01-11,18902,1,11,1
2022-01-12,19202,2,12,1
2022-01-13,19670,3,13,1
2022-01-14,20078,4,14,1
2022-01-15,20223,5,15,1
2022-01-16,20102,6,16,1
2022-01-17,20234,0,17,1
2022-01-18,21262,1,18,1
2022-01-19,21696,2,19,1
2022-01-20,21047,3,20,1
2022-01-21,21006,4,21,1
2022-01-22,19750,5,22,1
2022-01-23,18891,6,23,1
2022-01-24,19133,0,24,1
2022-01-25,20285,1,25,1
2022-01-26,20095,2,26,1
2022-01-27,19325,3,27,1
2022-01-28,17142,4,28,1
2022-01-29,15966,5,29,1
2022-01-30,17354,6,30,1
2022-01-31,18258,0,31,1
2022-02-01,19059,1,1,2
2022-02-02,17395,2,2,2
2022-02-03,19575,3,3,2
2022-02-04,19551,4,4,2
2022-02-05,18803,5,5,2
2022-02-06,17907,6,6,2
2022-02-07,18346,0,7,2
2022-02-08,20020,1,8,2
2022-02-09,20416,2,9,2
2022-02-10,20438,3,10,2
2022-02-11,20103,4,11,2
2022-02-12,19743,5,12,2
2022-02-13,17869,6,13,2
2022-02-14,17701,0,14,2
2022-02-15,19417,1,15,2
2022-02-16,19613,2,16,2
2022-02-17,20076,3,17,2
2022-02-18,20651,4,18,2
2022-02-19,19195,5,19,2
2022-02-20,17660,6,20,2
2022-02-21,17808,0,21,2
2022-02-22,18828,1,22,2
2022-02-23,19861,2,23,2
2022-02-24,18781,3,24,2
2022-02-25,18603,4,25,2
2022-02-26,18468,5,26,2
2022-02-27,18134,6,27,2
2022-02-28,18142,0,28,2
2022-03-01,19428,1,1,3
2022-03-02,20619,2,2,3
2022-03-03,20026,3,3,3
2022-03-04,20089,4,4,3
2022-03-05,20118,5,5,3
2022-03-06,19272,6,6,3
2022-03-07,19787,0,7,3
2022-03-08,20906,1,8,3
2022-03-09,20944,2,9,3
2022-03-10,21321,3,10,3
2022-03-11,21197,4,11,3
2022-03-12,20210,5,12,3
2022-03-13,18368,6,13,3
2022-03-14,19771,0,14,3
2022-03-15,21735,1,15,3
2022-03-16,21777,2,16,3
2022-03-17,20546,3,17,3
2022-03-18,21509,4,18,3
2022-03-19,20646,5,19,3
2022-03-20,19501,6,20,3
2022-03-21,19430,0,21,3
2022-03-22,20727,1,22,3
2022-03-23,21031,2,23,3
2022-03-24,21119,3,24,3
2022-03-25,21732,4,25,3
2022-03-26,20445,5,26,3
2022-03-27,19524,6,27,3
2022-03-28,19735,0,28,3
2022-03-29,21193,1,29,3
2022-03-30,21499,2,30,3
2022-03-31,21102,3,31,3
2022-04-01,21729,4,1,4
2022-04-02,21173,5,2,4
2022-04-03,19841,6,3,4
2022-04-04,20197,0,4,4
2022-04-05,21065,1,5,4
2022-04-06,21314,2,6,4
2022-04-07,20707,3,7,4
2022-04-08,21312,4,8,4
2022-04-09,20380,5,9,4
2022-04-10,19307,6,10,4
2022-04-11,19693,0,11,4
2022-04-12,22338,1,12,4
2022-04-13,22805,2,13,4
2022-04-14,21700,3,14,4
2022-04-15,21140,4,15,4
2022-04-16,20830,5,16,4
2022-04-17,18523,6,17,4
2022-04-18,18862,0,18,4
2022-04-19,20885,1,19,4
2022-04-20,21124,2,20,4
2022-04-21,20211,3,21,4
2022-04-22,20289,4,22,4
2022-04-23,19815,5,23,4
2022-04-24,19009,6,24,4
2022-04-25,19194,0,25,4
2022-04-26,20852,1,26,4
2022-04-27,21260,2,27,4
2022-04-28,21237,3,28,4
2022-04-29,20790,4,29,4
2022-04-30,20025,5,30,4
2022-05-01,19688,6,1,5
2022-05-02,18781,0,2,5
2022-05-03,21360,1,3,5
2022-05-04,21512,2,4,5
2022-05-05,22155,3,5,5
2022-05-06,20961,4,6,5
2022-05-07,20177,5,7,5
2022-05-08,19994,6,8,5
2022-05-09,20264,0,9,5
2022-05-10,21535,1,10,5
2022-05-11,22130,2,11,5
2022-05-12,22059,3,12,5
2022-05-13,21592,4,13,5
2022-05-14,20579,5,14,5
2022-05-15,20235,6,15,5
2022-05-16,19957,0,16,5
2022-05-17,20986,1,17,5
2022-05-18,21810,2,18,5
2022-05-19,21266,3,19,5
2022-05-20,20920,4,20,5
2022-05-21,21775,5,21,5
2022-05-22,20598,6,22,5
2022-05-23,20421,0,23,5
2022-05-24,21290,1,24,5
2022-05-25,21923,2,25,5
2022-05-26,21194,3,26,5
2022-05-27,21059,4,27,5
2022-05-28,20578,5,28,5
2022-05-29,20691,6,29,5
2022-05-30,20001,0,30,5
2022-05-31,22134,1,31,5
2022-06-01,21532,2,1,6
2022-06-02,21822,3,2,6
2022-06-03,21852,4,3,6
2022-06-04,21542,5,4,6
2022-06-05,20109,6,5,6
2022-06-06,20167,0,6,6
2022-06-07,21613,1,7,6
2022-06-08,21578,2,8,6
2022-06-09,21788,3,9,6
2022-06-10,22017,4,10,6
2022-06-11,20751,5,11,6
2022-06-12,19857,6,12,6
2022-06-13,20290,0,13,6
2022-06-14,20812,1,14,6
2022-06-15,21408,2,15,6
2022-06-16,20220,3,16,6
2022-06-17,22160,4,17,6
2022-06-18,21013,5,18,6
2022-06-19,19909,6,19,6
2022-06-20,20429,0,20,6
2022-06-21,21506,1,21,6
2022-06-22,20790,2,22,6
2022-06-23,20846,3,23,6
2022-06-24,20806,4,24,6
2022-06-25,21726,5,25,6
2022-06-26,20633,6,26,6
2022-06-27,19667,0,27,6
2022-06-28,19928,1,28,6
2022-06-29,21018,2,29,6
2022-06-30,20399,3,30,6
2022-07-01,21375,4,1,7
2022-07-02,21417,5,2,7
2022-07-03,21533,6,3,7
2022-07-04,21451,0,4,7
2022-07-05,21664,1,5,7
2022-07-06,20610,2,6,7
2022-07-07,20412,3,7,7
2022-07-08,20567,4,8,7
2022-07-09,20024,5,9,7
2022-07-10,19921,6,10,7
2022-07-11,19051,0,11,7
2022-07-12,20305,1,12,7
2022-07-13,20952,2,13,7
2022-07-14,20474,3,14,7
2022-07-15,20288,4,15,7
2022-07-16,19868,5,16,7
2022-07-17,19501,6,17,7
2022-07-18,18902,0,18,7
2022-07-19,20680,1,19,7
2022-07-20,21329,2,20,7
2022-07-21,20869,3,21,7
2022-07-22,20971,4,22,7
2022-07-23,20515,5,23,7
2022-07-24,19781,6,24,7
2022-07-25,19293,0,25,7
2022-07-26,20487,1,26,7
2022-07-27,20161,2,27,7
2022-07-28,20149,3,28,7
2022-07-29,19721,4,29,7
2022-07-30,19925,5,30,7
2022-07-31,19250,6,31,7
2022-08-01,18758,0,1,8
2022-08-02,19134,1,2,8
2022-08-03,18447,2,3,8
2022-08-04,19288,3,4,8
2022-08-05,20287,4,5,8
2022-08-06,20411,5,6,8
2022-08-07,19556,6,7,8
2022-08-08,19658,0,8,8
2022-08-09,21235,1,9,8
2022-08-10,21209,2,10,8
2022-08-11,20432,3,11,8
2022-08-12,20659,4,12,8
2022-08-13,20239,5,13,8
2022-08-14,20059,6,14,8
2022-08-15,18868,0,15,8
2022-08-16,20352,1,16,8
2022-08-17,20457,2,17,8
2022-08-18,19971,3,18,8
2022-08-19,20103,4,19,8
2022-08-20,19554,5,20,8
2022-08-21,18937,6,21,8
2022-08-22,18560,0,22,8
2022-08-23,19365,1,23,8
2022-08-24,20924,2,24,8
2022-08-25,20161,3,25,8
2022-08-26,19906,4,26,8
2022-08-27,19599,5,27,8
2022-08-28,19016,6,28,8
2022-08-29,18633,0,29,8
2022-08-30,19813,1,30,8
2022-08-31,20330,2,31,8
2022-09-01,20364,3,1,9
2022-09-02,19974,4,2,9
2022-09-03,19831,5,3,9
2022-09-04,18501,6,4,9
2022-09-05,17400,0,5,9
2022-09-06,19576,1,6,9
2022-09-07,20262,2,7,9
2022-09-08,20852,3,8,9
2022-09-09,19988,4,9,9
2022-09-10,19625,5,10,9
2022-09-11,17788,6,11,9
2022-09-12,19680,0,12,9
2022-09-13,21457,1,13,9
2022-09-14,21445,2,14,9
2022-09-15,21301,3,15,9
2022-09-16,20784,4,16,9
2022-09-17,19887,5,17,9
2022-09-18,18849,6,18,9
2022-09-19,18571,0,19,9
2022-09-20,20353,1,20,9
2022-09-21,19883,2,21,9
2022-09-22,19473,3,22,9
2022-09-23,20141,4,23,9
2022-09-24,19718,5,24,9
2022-09-25,19454,6,25,9
2022-09-26,19630,0,26,9
2022-09-27,20609,1,27,9
2022-09-28,21410,2,28,9
2022-09-29,20929,3,29,9
2022-09-30,20604,4,30,9
